"","scrubbed_genus","scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"370","Oryza","Oryza longistaminata",11.085541,7.719945,1947-10-30,"GBIF","Forest Herbarium Ibadan (FHI)","Forest Herbarium Ibadan (FHI)","Forest Herbarium Ibadan (FHI)",NA,3785,"specimen"
"371","Oryza","Oryza rufipogon",-14.840159,141.609469,1990-04-09,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"372","Oryza","Oryza barthii",12.85249,-14.81637,1967-09-08,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"373","Oryza","Oryza rufipogon",-19.673448,147.426099,1970-03-25,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"374","Oryza","Oryza rufipogon",-15.75709,145.000309,2002-04-08,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"375","Oryza","Oryza rufipogon",-15.4667,145.25,1970-05-14,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"376","Oryza","Oryza barthii",8.66445,18.77213,1968-09-20,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"377","Oryza","Oryza rufipogon",-18.418567,142.9756,2012-06-19,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"378","Oryza","Oryza latifolia",10.45,-85.13,1973-06-23,"MO","MO","MO","MO",NA,267,"specimen"
"379","Oryza","Oryza sativa",30.295026,109.479425,1934-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"380","Oryza","Oryza sativa",25.39996,112.948819,1942-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"381","Oryza","Oryza sativa",25.39996,112.948819,1942-01-01,"GBIF","IBSC","IBSC","IBSC",NA,4484,"specimen"
"382","Oryza","Oryza sativa",26.43,110.85,1984-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"383","Oryza","Oryza sativa",25.39996,112.948819,1941-01-01,"GBIF","IBSC","IBSC","IBSC",NA,4484,"specimen"
"384","Oryza","Oryza sativa",25.39996,112.948819,1942-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"385","Oryza","Oryza sativa",23.363,104.250727,1947-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"386","Oryza","Oryza sativa",23.380294,104.254632,1947-01-01,"GBIF","KUN","KUN","KUN",NA,4533,"specimen"
"387","Oryza","Oryza sativa",-9.086421,125.984036,2003-09-06,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"388","Oryza","Oryza sativa",-8.411111,126.737222,2000-07-14,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"389","Oryza","Oryza rufipogon",-16.969028,145.326833,2009-08-07,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
